sample_idx,document_id,pers_entity_id,loc_entity_id,true_label,pred_label,confidence
0,NZZ-1928-06-05-a-p0002,NZZ-1928-06-05-a-p0002_Q670852,NZZ-1928-06-05-a-p0002_Q807,FALSE,FALSE,0.9498649835586548
1,JDG-1921-02-22-34,JDG-1921-02-22-34-NIL_m_stalder,JDG-1921-02-22-34-NIL_geneve_ville,TRUE,TRUE,0.9596501588821412
2,NZZ-1948-07-19-c-p0002,NZZ-1948-07-19-c-p0002_Q151414,NZZ-1948-07-19-c-p0002_Q145,FALSE,FALSE,0.947952151298523
3,GDL-1981-12-11-62,GDL-1981-12-11-62-NIL_m_benjamin,GDL-1981-12-11-62-NIL_fulgur,FALSE,TRUE,0.9601184725761414
4,sn88085488-1910-09-02-a-i0006,sn88085488-1910-09-02-a-i0006-NIL_clerk_henry,sn88085488-1910-09-02-a-i0006_Q983540,PROBABLE,PROBABLE,0.9897056818008424
5,test_fr_5,test_fr_5_Q440600,test_fr_5_Q726531,FALSE,FALSE,0.9510698318481444
6,sn82014385-1810-04-07-a-i0003,sn82014385-1810-04-07-a-i0003-NIL_gen_fain,sn82014385-1810-04-07-a-i0003-NIL_boneventa,FALSE,FALSE,0.949484884738922
7,sn91068761-1960-04-13-a-i0001,sn91068761-1960-04-13-a-i0001-NIL_clinton_shipley,sn91068761-1960-04-13-a-i0001_Q1428,FALSE,FALSE,0.9516876339912416
8,sn83026170-1820-03-06-a-i0002,sn83026170-1820-03-06-a-i0002-NIL_j_jackson,sn83026170-1820-03-06-a-i0002_Q5092,TRUE,TRUE,0.9593262672424316
9,luxwort-1938-05-06-a-i0025,luxwort-1938-05-06-a-i0025_Q202979,luxwort-1938-05-06-a-i0025_Q61,PROBABLE,PROBABLE,0.9902482628822328
10,GDL-1881-09-24-5,GDL-1881-09-24-5-NIL_m_aime_humbert,GDL-1881-09-24-5-NIL_glaris,FALSE,FALSE,0.9509096145629884
11,EXP-1978-09-27-a-i0229,EXP-1978-09-27-a-i0229_Q1370340,EXP-1978-09-27-a-i0229_Q24826,TRUE,TRUE,0.9622047543525696
12,EXP-1908-01-21-a-i0053,EXP-1908-01-21-a-i0053_Q244748,EXP-1908-01-21-a-i0053_Q207521,TRUE,TRUE,0.9588035941123962
13,JDG-1921-02-22-34,JDG-1921-02-22-34-NIL_m_ernest_ansemiet,JDG-1921-02-22-34-NIL_gourgas,FALSE,FALSE,0.926629602909088
14,GDL-1826-09-29-17,GDL-1826-09-29-17-NIL_m_le_marquis_de_souza,GDL-1826-09-29-17-NIL_zamora,FALSE,TRUE,0.9616420269012452
15,sn83030483-1790-03-03-a-i0004,sn83030483-1790-03-03-a-i0004_Q3934904,sn83030483-1790-03-03-a-i0004_Q84,FALSE,FALSE,0.932096779346466
16,GDL-1804-08-28-2,GDL-1804-08-28-2-NIL_nelson,GDL-1804-08-28-2-NIL_europe,PROBABLE,FALSE,0.9513324499130248
17,EXP-1918-11-18-a-i0067,EXP-1918-11-18-a-i0067-NIL_platten,EXP-1918-11-18-a-i0067_Q39,TRUE,TRUE,0.9600384831428528
18,GDL-1961-12-21-72,GDL-1961-12-21-72-NIL_coppi,GDL-1961-12-21-72-NIL_herentals,FALSE,FALSE,0.9518113136291504
19,NZZ-1928-06-05-a-p0002,NZZ-1928-06-05-a-p0002_Q34624,NZZ-1928-06-05-a-p0002_Q807,FALSE,FALSE,0.9508482813835144
20,NZZ-1878-02-06-b-p0001,NZZ-1878-02-06-b-p0001_Q66452,NZZ-1878-02-06-b-p0001_Q16869,FALSE,FALSE,0.9507178068161012
21,sn84026272-1800-12-27-a-i0002,sn84026272-1800-12-27-a-i0002-NIL_otto,sn84026272-1800-12-27-a-i0002_Q142,FALSE,FALSE,0.9116318225860596
22,sn83026170-1820-05-05-a-i0004,sn83026170-1820-05-05-a-i0004-NIL_john_binns,sn83026170-1820-05-05-a-i0004_Q23666,FALSE,FALSE,0.9488623142242432
23,sn89058133-1920-06-17-a-i0007,sn89058133-1920-06-17-a-i0007_Q9077,sn89058133-1920-06-17-a-i0007_Q79,TRUE,TRUE,0.9603192806243896
24,luxwort-1858-10-24-a-i0007,luxwort-1858-10-24-a-i0007_Q446724,luxwort-1858-10-24-a-i0007-NIL_avigdor,FALSE,FALSE,0.9542227983474731
25,NZZ-1848-10-21-a-p0003,NZZ-1848-10-21-a-p0003-NIL_teichert,NZZ-1848-10-21-a-p0003_Q490,FALSE,TRUE,0.9158107042312622
26,sn91068761-1960-04-06-a-i0012,sn91068761-1960-04-06-a-i0012-NIL_col_gruenwald,sn91068761-1960-04-06-a-i0012_Q6948590,TRUE,TRUE,0.9563113451004028
27,EXP-1978-09-27-a-i0229,EXP-1978-09-27-a-i0229_Q1370340,EXP-1978-09-27-a-i0229_Q22890,TRUE,TRUE,0.9645646214485168
28,sn84026272-1800-10-16-a-i0001,sn84026272-1800-10-16-a-i0001-NIL_alexan_der_addison,sn84026272-1800-10-16-a-i0001_Q7163624,TRUE,TRUE,0.9547340273857116
29,GDL-1981-05-13-1,GDL-1981-05-13-1-NIL_ronald_reagan,GDL-1981-05-13-1-NIL_syrie,FALSE,PROBABLE,0.9883826375007628
30,GDL-1981-11-17-62,GDL-1981-11-17-62-NIL_g_w_pabst,GDL-1981-11-17-62-NIL_bourges,FALSE,FALSE,0.9494861960411072
31,GDL-1981-04-09-30,GDL-1981-04-09-30-NIL_m_wittwer,GDL-1981-04-09-30-NIL_chaux_de_fonds,TRUE,FALSE,0.9110380411148072
32,NZZ-1878-10-02-b-p0009,NZZ-1878-10-02-b-p0009_Q76679,NZZ-1878-10-02-b-p0009_Q28,FALSE,FALSE,0.9497413039207458
33,9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q57428,9838247_1868-02-19_0_0_001_Q1228247,TRUE,FALSE,0.9503589868545532
34,GDL-1908-01-07-a-i0009,GDL-1908-01-07-a-i0009_Q20789802,GDL-1908-01-07-a-i0009_Q126148,TRUE,PROBABLE,0.719476580619812
35,GDL-1981-11-17-62,GDL-1981-11-17-62-NIL_melaine_favenncc,GDL-1981-11-17-62-NIL_montreux,FALSE,FALSE,0.949458122253418
36,EXP-1808-09-01-a-i0001,EXP-1808-09-01-a-i0001-NIL_cousandier,EXP-1808-09-01-a-i0001_Q69807,TRUE,TRUE,0.9590860605239868
37,GDL-1881-09-24-5,GDL-1881-09-24-5-NIL_m_berthoud,GDL-1881-09-24-5-NIL_gorges_de_l_areuse,FALSE,FALSE,0.9515734314918518
