document_id,pers_entity_id,loc_entity_id,language,gold,n_correct,n_total,frac_correct,modal_wrong_pred,all_wrong,all_right,T1.1_llm_zeroshot_PA+PB_split_v2,T1.1_llm_zeroshot_PAB_deepinfra_Meta-Llama-31-8B-Instruct_at-test,T1.1_llm_zeroshot_PA_deepinfra_Meta-Llama-31-8B-Instruct_at-test,T1.1_llm_zeroshot_PA_deepinfra_Meta-Llama-31-8B-Instruct_at-test_reparsed,T1.1_llm_zeroshot_PA_v2_fixed_prompt,T1.1_llm_zeroshot_PR_deepinfra_Meta-Llama-31-8B-Instruct_at-test,T1.4or5_mask_C1_mask_LR_at_at-test,T1.4or5_mask_C4_mask+e1+e2+temporal_LR_at_at-test,T1.4or5_mask_T1.4_temporal_only_LR_at_at-test,T1.4or5_mask_T1.5_handcrafted_RF_at_at-test,T1_hybrid_RFat_MASKC4isAt_at-test,T1_llm_hybrid_PA-rag3_PB-zeroshot_at-test_v3,T1_llm_rag3_PA_at-test_v3_adjustable,T1_llm_rag3_PR_at-test,T1_llm_rag3_PR_at-test_v2,T1_llm_rag3_wd_temp_PR_at-test_v2,T1_llm_rag3_wd_temp_PR_at-test_v3_adjustable,T1_llm_zeroshot_wd_temp_PR_at-test,T1_llm_zeroshot_wd_temp_PR_at-test_v2,T1_llm_zeroshot_wd_temp_PR_at-test_v3_adjustable
11614109_1886-06-22_5_67_001,11614109_1886-06-22_5_67_001_Q77340,11614109_1886-06-22_5_67_001_Q161062,de,FALSE,6,20,0.3,TRUE,False,False,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
11614109_1886-06-22_5_67_001,11614109_1886-06-22_5_67_001_Q8442,11614109_1886-06-22_5_67_001_Q21,de,FALSE,5,20,0.25,PROBABLE,False,False,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
27112366_1874-08-25_000_197_0_006,27112366_1874-08-25_000_197_0_006-NIL_rosenstein,27112366_1874-08-25_000_197_0_006_Q64,de,FALSE,7,20,0.35,PROBABLE,False,False,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
27112366_1874-08-25_000_197_0_006,27112366_1874-08-25_000_197_0_006-NIL_zwicker,27112366_1874-08-25_000_197_0_006_Q81720,de,FALSE,11,20,0.55,PROBABLE,False,False,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
27112366_1874-08-25_000_197_0_006,27112366_1874-08-25_000_197_0_006_Q1612411,27112366_1874-08-25_000_197_0_006_Q81720,de,FALSE,10,20,0.5,PROBABLE,False,False,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
27646518_1892-07-05_21_335_005,27646518_1892-07-05_21_335_005-NIL_august_jabu,27646518_1892-07-05_21_335_005-NIL_fran_osischestrae,de,FALSE,3,20,0.15,TRUE,False,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27646518_1892-07-05_21_335_005,27646518_1892-07-05_21_335_005-NIL_august_jabu,27646518_1892-07-05_21_335_005_Q64,de,TRUE,14,20,0.7,PROBABLE,False,False,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
27646518_1892-07-05_21_335_005,27646518_1892-07-05_21_335_005-NIL_g_a_hendrichs,27646518_1892-07-05_21_335_005_Q64,de,TRUE,5,20,0.25,PROBABLE,False,False,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27646518_1892-07-05_21_335_005,27646518_1892-07-05_21_335_005-NIL_h_kray,27646518_1892-07-05_21_335_005_Q64,de,TRUE,10,20,0.5,FALSE,False,False,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1
27646518_1892-07-05_21_335_005,27646518_1892-07-05_21_335_005-NIL_simon_besas,27646518_1892-07-05_21_335_005_Q64,de,TRUE,13,20,0.65,PROBABLE,False,False,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q57428,9838247_1868-02-19_0_0_001_Q102911,de,FALSE,8,20,0.4,PROBABLE,False,False,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q57428,9838247_1868-02-19_0_0_001_Q1142,de,FALSE,2,20,0.1,PROBABLE,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q57428,9838247_1868-02-19_0_0_001_Q164079,de,PROBABLE,6,20,0.3,TRUE,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q57428,9838247_1868-02-19_0_0_001_Q38872,de,FALSE,4,20,0.2,PROBABLE,False,False,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q765327,9838247_1868-02-19_0_0_001_Q102911,de,FALSE,5,20,0.25,PROBABLE,False,False,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q765327,9838247_1868-02-19_0_0_001_Q40,de,FALSE,5,20,0.25,PROBABLE,False,False,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q8442,9838247_1868-02-19_0_0_001_Q1228247,de,FALSE,9,20,0.45,PROBABLE,False,False,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
