sample_idx,document_id,pers_entity_id,loc_entity_id,true_label,pred_label,confidence
0,NZZ-1818-01-06-a-p0001,NZZ-1818-01-06-a-p0001_Q131691,NZZ-1818-01-06-a-p0001_Q784000,False,False,0.9621075391769408
1,sn91068761-1960-04-06-a-i0012,sn91068761-1960-04-06-a-i0012-NIL_col_gruenwald,sn91068761-1960-04-06-a-i0012_Q6948590,True,True,0.9857181310653688
2,EXP-1918-07-10-a-i0071,EXP-1918-07-10-a-i0071-NIL_fiintze,EXP-1918-07-10-a-i0071_Q33,False,False,0.954647421836853
3,sn83026170-1820-03-06-a-i0002,sn83026170-1820-03-06-a-i0002-NIL_john_f_ferguson,sn83026170-1820-03-06-a-i0002_Q5092,True,True,0.9869794845581056
4,sn83026170-1820-05-05-a-i0004,sn83026170-1820-05-05-a-i0004_Q332449,sn83026170-1820-05-05-a-i0004_Q1345,False,False,0.963230550289154
5,NZZ-1868-02-17-a-p0001,NZZ-1868-02-17-a-p0001_Q326431,NZZ-1868-02-17-a-p0001_Q84,False,False,0.9621075391769408
6,sn91068761-1960-04-13-a-i0001,sn91068761-1960-04-13-a-i0001-NIL_clinton_shipley,sn91068761-1960-04-13-a-i0001_Q586130,False,False,0.961533784866333
7,EXP-1868-04-22-a-i0042,EXP-1868-04-22-a-i0042-NIL_payre,EXP-1868-04-22-a-i0042_Q2279371,True,False,0.9230391979217528
8,EXP-1918-04-22-a-i0077,EXP-1918-04-22-a-i0077-NIL_cleopatre,EXP-1918-04-22-a-i0077_Q689055,False,False,0.9621075391769408
9,test_fr_5,test_fr_5_Q440600,test_fr_5_Q1469315,False,False,0.9621075391769408
10,GDL-1981-05-13-1,GDL-1981-05-13-1-NIL_philip_habib,GDL-1981-05-13-1-NIL_etats_unis,False,False,0.9623913168907166
11,NZZ-1928-02-17-i-p0001,NZZ-1928-02-17-i-p0001-NIL_niederer,NZZ-1928-02-17-i-p0001_Q2244426,False,False,0.966156005859375
12,NZZ-1868-06-16-a-p0003,NZZ-1868-06-16-a-p0003-NIL_huni,NZZ-1868-06-16-a-p0003_Q68959,False,False,0.9600626826286316
13,sn82014385-1810-04-14-a-i0002,sn82014385-1810-04-14-a-i0002_Q11813,sn82014385-1810-04-14-a-i0002_Q30,True,True,0.966663122177124
14,EXP-1868-04-22-a-i0042,EXP-1868-04-22-a-i0042-NIL_thedoros,EXP-1868-04-22-a-i0042_Q2279371,True,False,0.950411021709442
15,sn83026170-1820-05-05-a-i0004,sn83026170-1820-05-05-a-i0004_Q101384,sn83026170-1820-05-05-a-i0004_Q1345,False,False,0.9629528522491456
16,NZZ-1888-03-08-b-p0002,NZZ-1888-03-08-b-p0002_Q17350092,NZZ-1888-03-08-b-p0002_Q9733,False,False,0.961533784866333
17,EXP-1928-10-25-a-i0006,EXP-1928-10-25-a-i0006_Q117253,EXP-1928-10-25-a-i0006_Q71,False,False,0.9594592452049256
18,GDL-1826-08-22-10,GDL-1826-08-22-10-NIL_m_le_prince_de_metternicli,GDL-1826-08-22-10-NIL_sardaigne,False,False,0.9618217349052428
19,GDL-1826-09-29-17,GDL-1826-09-29-17-NIL_m_carnero,GDL-1826-09-29-17-NIL_ehportugal,False,False,0.9645892381668092
20,GDL-1826-09-29-17,GDL-1826-09-29-17-NIL_don_nazario_eguia,GDL-1826-09-29-17-NIL_afrique,False,False,0.9626730680465698
21,JDG-1961-01-20-70,JDG-1961-01-20-70-NIL_m_f_stirnimann,JDG-1961-01-20-70-NIL_lamalou_les_bains,False,False,0.5360700488090515
22,luxwort-1858-02-24-a-i0002,luxwort-1858-02-24-a-i0002_Q965335,luxwort-1858-02-24-a-i0002_Q142,False,False,0.5877065062522888
23,luxwort-1858-02-24-a-i0002,luxwort-1858-02-24-a-i0002_Q517,luxwort-1858-02-24-a-i0002_Q32,False,False,0.9621075391769408
24,11614109_1886-06-22_5_67_001,11614109_1886-06-22_5_67_001_Q8442,11614109_1886-06-22_5_67_001_Q258,False,False,0.8936811685562134
25,9838247_1868-02-19_0_0_001,9838247_1868-02-19_0_0_001_Q57428,9838247_1868-02-19_0_0_001_Q39,False,False,0.9709092378616332
26,luxwort-1948-05-04-a-i0049,luxwort-1948-05-04-a-i0049_Q3379042,luxwort-1948-05-04-a-i0049_Q46,False,False,0.9643214344978333
27,EXP-1988-02-15-a-i0330,EXP-1988-02-15-a-i0330-NIL_manfred_gsteiger,EXP-1988-02-15-a-i0330_Q46,False,False,0.9669140577316284
28,EXP-1928-10-25-a-i0006,EXP-1928-10-25-a-i0006_Q117253,EXP-1928-10-25-a-i0006_Q12771,False,False,0.9591543078422546
29,GDL-1921-10-05-19,GDL-1921-10-05-19-NIL_staehli,GDL-1921-10-05-19-NIL_copenhague,False,False,0.8365545868873596
30,NZZ-1928-06-05-a-p0002,NZZ-1928-06-05-a-p0002_Q670852,NZZ-1928-06-05-a-p0002-NIL_st_jakobskirche,False,False,0.970687747001648
31,GDL-1908-01-07-a-i0009,GDL-1908-01-07-a-i0009_Q2478026,GDL-1908-01-07-a-i0009_Q2254188,False,False,0.9155072569847108
32,sn89058133-1920-04-22-a-i0003,sn89058133-1920-04-22-a-i0003-NIL_ralph_wirt,sn89058133-1920-04-22-a-i0003_Q142,False,False,0.961533784866333
33,GDL-1928-05-06-a-i0059,GDL-1928-05-06-a-i0059_Q2713806,GDL-1928-05-06-a-i0059_Q459,False,False,0.957912266254425
34,sn89058133-1920-07-08-a-i0006,sn89058133-1920-07-08-a-i0006-NIL_mr_pleas_farley,sn89058133-1920-07-08-a-i0006_Q23197,False,False,0.6664968132972717
35,sn83026170-1820-09-09-a-i0004,sn83026170-1820-09-09-a-i0004-NIL_rob_moore,sn83026170-1820-09-09-a-i0004_Q5092,False,False,0.9645892381668092
36,GDL-1981-12-11-62,GDL-1981-12-11-62-NIL_henri_barbier,GDL-1981-12-11-62-NIL_fulgur,False,False,0.9618217349052428
37,sn83030483-1790-05-29-a-i0003,sn83030483-1790-05-29-a-i0003-NIL_h011_james_gordon,sn83030483-1790-05-29-a-i0003_Q18438,False,False,0.961243748664856
38,NZZ-1868-02-17-a-p0001,NZZ-1868-02-17-a-p0001_Q326431,NZZ-1868-02-17-a-p0001_Q90,False,False,0.961533784866333
39,GDL-1948-10-09-a-i0015,GDL-1948-10-09-a-i0015-NIL_a_s_,GDL-1948-10-09-a-i0015_Q71,False,False,0.9618217349052428
40,sn92063852-1950-11-25-a-i0012,sn92063852-1950-11-25-a-i0012_Q302,sn92063852-1950-11-25-a-i0012_Q59174,False,False,0.9678993225097656
41,NZZ-1938-11-13-c-p0001,NZZ-1938-11-13-c-p0001-NIL_siurgenenger,NZZ-1938-11-13-c-p0001_Q663546,False,False,0.9626730680465698
42,sn84026272-1800-10-16-a-i0001,sn84026272-1800-10-16-a-i0001-NIL_d_c_i_dwell_clerl_of_lie_dijtriel_of_peonsyl_v_aoisa,sn84026272-1800-10-16-a-i0001_Q7163624,True,True,0.9843363761901855
43,GDL-1908-01-07-a-i0009,GDL-1908-01-07-a-i0009_Q2478026,GDL-1908-01-07-a-i0009_Q7903,True,True,0.9822876453399658
44,NZZ-1888-03-08-b-p0002,NZZ-1888-03-08-b-p0002_Q111102,NZZ-1888-03-08-b-p0002_Q1206012,False,False,0.9353464841842652
45,sn83026170-1820-03-06-a-i0002,sn83026170-1820-03-06-a-i0002-NIL_william_murphy,sn83026170-1820-03-06-a-i0002-NIL_margaritta,False,False,0.9690910577774048
46,27112366_1874-08-25_000_197_0_006,27112366_1874-08-25_000_197_0_006-NIL_schuler,27112366_1874-08-25_000_197_0_006_Q81720,False,False,0.9621075391769408
47,EXP-1808-09-01-a-i0001,EXP-1808-09-01-a-i0001-NIL_marianne_perrenoud,EXP-1808-09-01-a-i0001_Q68532,True,False,0.961533784866333
48,NZZ-1878-02-06-b-p0001,NZZ-1878-02-06-b-p0001-NIL_zimmermann,NZZ-1878-02-06-b-p0001_Q160173,False,True,0.6083614230155945
49,EXP-1928-10-25-a-i0006,EXP-1928-10-25-a-i0006_Q9061,EXP-1928-10-25-a-i0006_Q25607,False,False,0.9606574773788452
50,GDL-1981-07-25-67,GDL-1981-07-25-67-NIL_van_der_valk,GDL-1981-07-25-67-NIL_suisse_italienne,False,False,0.957277774810791
51,27112366_1874-08-25_000_197_0_006,27112366_1874-08-25_000_197_0_006-NIL_ru,27112366_1874-08-25_000_197_0_006_Q81720,False,False,0.9606574773788452
52,NZZ-1818-01-06-a-p0001,NZZ-1818-01-06-a-p0001_Q676998,NZZ-1818-01-06-a-p0001_Q784000,False,False,0.9618217349052428
53,NZZ-1898-05-02-d-p0001,NZZ-1898-05-02-d-p0001_Q123734,NZZ-1898-05-02-d-p0001-NIL_frohlichstrae_1,True,True,0.9802808165550232
54,GDL-1928-05-06-a-i0059,GDL-1928-05-06-a-i0059_Q2713806,GDL-1928-05-06-a-i0059_Q103011,False,False,0.9591543078422546
55,IMP-2018-01-03-a-i0049,IMP-2018-01-03-a-i0049-NIL_diable,IMP-2018-01-03-a-i0049_Q398,False,False,0.9669140577316284
56,GDL-1881-09-24-5,GDL-1881-09-24-5-NIL_m_aime_humbert,GDL-1881-09-24-5-NIL_glaris,False,False,0.9289263486862184
57,NZZ-1878-10-02-b-p0009,NZZ-1878-10-02-b-p0009_Q76679,NZZ-1878-10-02-b-p0009_Q29,False,False,0.9623913168907166
58,GDL-1981-05-13-1,GDL-1981-05-13-1-NIL_philip_habib,GDL-1981-05-13-1-NIL_syrie,True,False,0.963230550289154
59,IMP-2018-01-03-a-i0049,IMP-2018-01-03-a-i0049-NIL_diable,IMP-2018-01-03-a-i0049_Q668,False,False,0.9678993225097656
60,sn83026170-1820-02-01-a-i0002,sn83026170-1820-02-01-a-i0002-NIL_loid_coke,sn83026170-1820-02-01-a-i0002-NIL_falls_bridge,False,False,0.9671630263328552
